,text,intent
0," I have 25 euros; if I converted them to U.S. dollars, how much would I get ",0
1, how many dollars are 500 pesos ,0
2, how much is one British pound in Chinese yuan ,0
3, how many dollars can i get for one euro ,0
4, how much is one dollar in rupees ,0
5, how much for dollar to pound ,0
6, how many euros can i get for one dollar ,0
7, *5.5.5 what is the current exchange rate on a us dollar ,0
8, how many dollars can i get for one peso ,0
9, exchange rate between mexico and brazil ,0
10, how many pesos to dollars ,0
11, what is the rate of emirates dirham to us dollar ,0
12, how many us dollars can i get for 10000 pesos ,0
13, exchange rate for euro usd ,0
14, what is the exchange rate between the dollar and the yen ,0
15, how much is USD in CHF ,0
16, what's the exchange rate of mexico to usd ,0
17, how many pesos in one dollar ,0
18, how many us dollars can i get for one kwanza ,0
19, can you show me the rate of the euro ,0
20, when do you have cars? ,1
21, what rental cars have a moon roof in december in san diego ,1
22, can i get a rental car in new york city june 10-12 ,1
23, can i rent a car from san francisco to san jose for 3 days ,1
24, i need a car for 4 days from 4/3 - 4/7 in san jose ,1
25, could i rent a car in boston for march 2nd and 3rd please ,1
26, do you have a car available for april 8 for the day in san francisco ,1
27, i'm looking for a car rental in houston 4/21-4/22 ,1
28," need a car to rent for a week in london, april 4-11 ",1
29, can i rent a car from your rental office in chicago? ,1
30, can i rent a car in boston for one week from now until next tuesday ,1
31, i'll need a car this weekend ,1
32, I want to rent a car in Boston for one week in the summer. How much does the insurance cost ,1
33, i would like to rent a car on march 2 in berlin ,1
34, check if there are rental cars between 2/21-2/24 in bay area ,1
35, when is the cheapest time to rent a car? ,1
36, i would like to rent a car on ,1
37, Can you please tell me if I am able to rent a car on Mar 22nd ,1
38," hi i want to book a car in boston on march 10, in the evening ",1
39, could i find at boston airport a car from tuesday at noon to sunday at 8 pm ,1
40, how often to vaccinate a child at 2 months old ,2
41, can i enter bangladesh without all vaccinations ,2
42, what shots do i need to enter georgia ,2
43, what are the vaccinations for traveling to canada ,2
44, I'm going to south america in 10 months. Do i need the hepatitis shots? ,2
45, what vaccines do i need to go to mexico ,2
46, is there a list of recommended shots to get before travelling to laos ,2
47, are there injections required to travel to thailand ,2
48, vaccines ,2
49, how much does an H1N1 vaccination cost ,2
50, please tell me if i need any shots for a trip to france ,2
51, can you recommend travel vaccines for my trip to brazil in september? ,2
52, do you have a guide to what vaccines i should have ,2
53, what is the recommended booster schedule for hepatitis a ,2
54, how many vaccinations do i need for traveling to south america ,2
55, how many days does it take for dtap shot to take effect ,2
56, do you know if any shots are required to travel to usa ,2
57, what do i need for travel to ethiopia ,2
58, what are the required shots for kids to travel to nigeria ,2
59, what is the right vacince for a 3 month old travelling to south africa ,2
60, i'd like to know if i need a visa for germany ,3
61, do i need a visitor visa to go to new zealand ,3
62, do i need an american visa for business ,3
63, do i need a visa to go to spain ,3
64, What type of visa do I need to enter Italy? ,3
65, do i need an international visa to enter canada from the uk? ,3
66," ""i need a travel visa to visit the usa"" ",3
67, is there a visa required for us to travel to france? ,3
68, Do i need a visa to visit australia ,3
